fips,county,time,state,ind(not needed),inter,intra,ind_r
1001,Autauga,1,AL,0,1.877934272,1.773022752,0
1001,Autauga,4,AL,19,1.277356446,1.424521488,34.30841459
1001,Autauga,8,AL,162,1.750993138,1.506319971,292.524377
1001,Autauga,12,AL,237,1.753521127,1.593535572,427.9523294
1001,Autauga,16,AL,125,1.670819791,1.684182015,225.7132539
1001,Autauga,20,AL,365,1.629288552,1.622246298,659.0827013
1001,Autauga,24,AL,493,1.582159624,1.536114121,890.2130733
1003,Baldwin,1,AL,0,1.538176009,2.299863741,0
1003,Baldwin,4,AL,88,0.681200959,1.778743598,41.34755439
1003,Baldwin,8,AL,101,2.21402058,2.022835127,47.45571583
1003,Baldwin,12,AL,759,1.645256778,2.195743081,356.6226566
1003,Baldwin,16,AL,716,0.941455622,2.049851995,336.418738
1003,Baldwin,20,AL,1463,0.867170982,2.111450453,687.4030917
1003,Baldwin,24,AL,1920,0.840295071,2.003429968,902.1284593
1005,Barbour,1,AL,0,1.142305114,1.359962147,0
1005,Barbour,4,AL,23,0.808722054,1.116280904,90.69043019
1005,Barbour,8,AL,82,1.313039707,1.203816884,323.3310989
1005,Barbour,12,AL,58,1.130081621,1.282678128,228.6976066
1005,Barbour,16,AL,66,1.047671622,1.288987027,260.242104
1005,Barbour,20,AL,66,0.930956981,1.25744253,260.242104
1005,Barbour,24,AL,219,0.996411813,1.134024684,863.5306179
1007,Bibb,1,AL,0,1.718756947,1.560485484,0
1007,Bibb,4,AL,23,1.289290001,1.280398346,102.2540346
1007,Bibb,8,AL,47,1.77566354,1.341306184,208.9538968
1007,Bibb,12,AL,114,1.648957453,1.363090739,506.8243454
1007,Bibb,16,AL,67,1.512470546,1.56937714,297.8704486
1007,Bibb,20,AL,246,1.65651536,1.472458098,1093.673587
1007,Bibb,24,AL,154,1.571155471,1.418219002,684.657449
1009,Blount,1,AL,0,1.856763926,1.974133597,0
1009,Blount,4,AL,19,1.336315251,1.582843571,32.93978953
1009,Blount,8,AL,73,1.911374629,1.71772334,126.5581387
1009,Blount,12,AL,222,1.755344047,1.797645672,384.8754356
1009,Blount,16,AL,81,1.74615558,1.829198523,140.4275238
1009,Blount,20,AL,527,1.665539779,1.742688234,913.6457412
1009,Blount,24,AL,391,1.646989477,1.712348954,677.8661951
1011,Bullock,1,AL,0,0.87529274,0.75136612,0
1011,Bullock,4,AL,8,0.766003123,0.672326308,78.06401249
1011,Bullock,8,AL,100,0.861631538,0.691842311,975.8001561
1011,Bullock,12,AL,65,0.866510539,0.776736924,634.2701015
1011,Bullock,16,AL,23,0.790398127,0.724043716,224.4340359
1011,Bullock,20,AL,27,0.99921936,0.769906323,263.4660422
1011,Bullock,24,AL,94,0.865534739,0.68793911,917.2521468
1013,Butler,1,AL,0,1.27244301,1.463586847,0
1013,Butler,4,AL,18,0.84073028,1.212931208,90.78071414
1013,Butler,8,AL,136,1.443413355,1.25933024,685.8987291
1013,Butler,12,AL,43,1.274460359,1.405588057,216.8650393
1013,Butler,16,AL,27,1.304720597,1.555376236,136.1710712
1013,Butler,20,AL,91,1.088864232,1.554871898,458.9469437
1013,Butler,24,AL,121,1.146358685,1.486282025,610.248134
1015,Calhoun,1,AL,0,1.232616169,2.161178872,0
1015,Calhoun,4,AL,35,0.858591146,1.596520616,30.53621595
1015,Calhoun,8,AL,33,1.214294439,1.777818493,28.79128933
1015,Calhoun,12,AL,525,1.248843986,1.919332042,458.0432393
1015,Calhoun,16,AL,304,1.11701478,2.040080965,265.2288471
1015,Calhoun,20,AL,1043,1.117102026,1.877192064,909.9792354
1015,Calhoun,24,AL,936,1.08133103,1.897345967,816.6256609
1017,Chamber,1,AL,0,1.48989899,1.677064765,0
1017,Chamber,4,AL,111,1.050207962,1.355614973,329.7682709
1017,Chamber,8,AL,132,1.418300654,1.401366607,392.1568628
1017,Chamber,12,AL,63,1.440285205,1.577837196,187.1657754
1017,Chamber,16,AL,77,1.246583482,1.49792038,228.7581699
1017,Chamber,20,AL,228,1.305407011,1.4818776,677.3618538
1017,Chamber,24,AL,396,1.309863339,1.44325609,1176.470588
1019,Cheroke,1,AL,0,1.401768135,1.60637764,0
1019,Cheroke,4,AL,5,1.276300043,1.358143844,19.30278346
1019,Cheroke,8,AL,19,1.805968421,1.504072887,73.35057715
1019,Cheroke,12,AL,88,1.638806316,1.567386017,339.7289889
1019,Cheroke,16,AL,59,1.530710729,1.621819866,227.7728448
1019,Cheroke,20,AL,123,1.356599622,1.516426669,474.8484732
1019,Cheroke,24,AL,92,1.379376906,1.530710729,355.1712157
1021,Chilton,1,AL,0,1.68720917,2.133242538,0
1021,Chilton,4,AL,22,1.157189876,1.77278402,49.93757803
1021,Chilton,8,AL,45,1.76370446,1.905345591,102.145046
1021,Chilton,12,AL,197,1.51174668,1.927590512,447.1683123
1021,Chilton,16,AL,137,1.598910453,2.026330723,310.9749177
1021,Chilton,20,AL,229,1.371240495,2.033140393,519.8047895
1021,Chilton,24,AL,196,1.418227216,1.964816706,444.8984224
1023,Choctaw,1,AL,0,1.18065764,1.459187621,0
1023,Choctaw,4,AL,18,0.782978723,1.18065764,139.2649903
1023,Choctaw,8,AL,32,1.083172147,1.282011605,247.582205
1023,Choctaw,12,AL,23,1.125725339,1.329206963,177.9497099
1023,Choctaw,16,AL,25,1.05377176,1.356286267,193.4235977
1023,Choctaw,20,AL,23,1.02901354,1.449129594,177.9497099
1023,Choctaw,24,AL,18,1.125725339,1.267311412,139.2649903
1025,Clarke,1,AL,0,1.094578913,1.685179045,0
1025,Clarke,4,AL,11,0.798242706,1.28191313,45.59018568
1025,Clarke,8,AL,59,1.126906499,1.373093501,244.5291777
1025,Clarke,12,AL,374,1.109499337,1.511521883,1550.066313
1025,Clarke,16,AL,114,0.983919098,1.531415783,472.4801061
1025,Clarke,20,AL,118,0.984748011,1.525198939,489.0583554
1025,Clarke,24,AL,400,1.077586207,1.453498011,1657.824934
1027,Clay,1,AL,0,1.504086376,1.371372873,0
1027,Clay,4,AL,8,1.18767339,1.200419885,59.98350454
1027,Clay,8,AL,2,1.444852666,1.315138337,14.99587613
1027,Clay,12,AL,89,1.453100397,1.470345655,667.316488
1027,Clay,16,AL,55,1.318887306,1.444852666,412.3865937
1027,Clay,20,AL,79,1.395366274,1.453100397,592.3371073
1027,Clay,24,AL,71,1.501087201,1.543075654,532.3536028
1029,Cleburn,1,AL,0,2.196299276,1.519174041,0
1029,Cleburn,4,AL,0,1.59023867,1.269106999,0
1029,Cleburn,8,AL,7,2.066237597,1.242960579,46.92947171
1029,Cleburn,12,AL,24,2.024001073,1.318718155,160.9010459
1029,Cleburn,16,AL,88,2.1205417,1.258380263,589.9705015
1029,Cleburn,20,AL,104,2.064896755,1.386430679,697.2378654
1029,Cleburn,24,AL,106,2.005229284,1.348887101,710.6462859
1031,Coffee,1,AL,0,1.550462622,2.076768224,0
1031,Coffee,4,AL,73,1.033254617,1.604273934,141.3030854
1031,Coffee,8,AL,71,1.505942472,1.696798421,137.431768
1031,Coffee,12,AL,130,1.426580465,1.931400256,251.6356316
1031,Coffee,16,AL,193,1.4831017,1.803259649,373.58213
1031,Coffee,20,AL,335,1.33541094,1.867523518,648.4456661
1031,Coffee,24,AL,515,1.244434981,1.756416709,996.8642329
1033,Colbert,1,AL,0,1.700352376,2.163918862,0
1033,Colbert,4,AL,15,1.219623523,1.74033704,27.38675577
1033,Colbert,8,AL,96,1.631702909,1.922550255,175.2752369
1033,Colbert,12,AL,212,1.629511968,1.914516806,387.0661481
1033,Colbert,16,AL,146,1.607602563,1.989008782,266.5644228
1033,Colbert,20,AL,599,1.503532892,1.951580216,1093.644447
