fips,average_20,complete_20,average_48,complete_48,average_50,complete_50,average_75,complete_75
US01001,16,12,20,19,20,19,9,65
US01003,16,12,40,19,40,19,40,65
US01005,2,3,9,12,9,12,23,56
US01007,16,3,20,22,20,22,9,0
US01009,16,14,20,15,20,15,9,73
US01011,2,3,9,12,9,12,23,56
US01013,16,3,20,4,20,0,9,3
US01015,16,14,20,15,20,15,9,73
US01017,4,12,5,19,0,19,16,65
US01019,16,14,20,15,20,15,9,26
US01021,16,12,20,19,20,19,9,65
US01023,2,3,9,4,9,0,23,5
US01025,16,3,20,22,20,22,9,0
US01027,2,3,9,4,9,0,23,3
US01029,16,3,20,4,20,0,9,3
US01031,16,12,40,19,40,19,40,28
US01033,16,14,20,15,20,15,9,73
US01035,16,3,20,4,20,0,9,3
US01037,2,3,9,23,9,23,23,32
US01039,16,3,20,4,20,0,9,3
US01041,2,3,9,22,9,22,23,0
US01043,16,14,20,15,20,15,9,73
US01045,16,12,40,19,40,19,40,28
US01047,16,12,20,19,20,19,9,65
US01049,16,14,20,15,20,15,9,73
US01051,16,12,20,19,20,19,9,65
US01053,16,3,20,4,20,0,9,3
US01055,16,14,20,15,20,15,9,73
US01057,2,3,9,4,9,0,23,3
US01059,16,14,20,15,20,15,9,73
US01061,16,12,40,19,40,19,40,28
US01063,2,3,9,4,9,0,23,3
US01065,16,3,20,22,20,22,9,0
US01067,16,12,40,19,40,19,40,28
US01069,16,12,40,19,40,19,40,28
US01071,16,14,20,15,20,15,9,73
US01073,16,14,20,15,20,15,9,73
US01075,2,3,9,4,9,0,23,3
US01077,16,14,20,15,20,15,9,73
US01079,16,14,20,15,20,15,9,73
US01081,4,12,5,19,0,19,16,65
US01083,16,14,20,15,20,15,9,73
US01085,2,3,9,4,9,0,23,3
US01087,4,12,5,19,0,19,16,65
US01089,16,14,20,15,20,15,9,73
US01091,16,12,20,19,20,19,9,65
US01093,16,14,20,15,20,15,9,73
US01095,16,14,20,15,20,15,9,73
US01097,16,12,40,19,40,19,40,65
US01099,16,3,20,4,20,0,9,3
US01101,16,12,20,19,20,19,9,65
US01103,16,14,20,15,20,15,9,73
US01105,2,3,9,4,9,0,23,5
US01107,2,3,9,22,9,22,23,0
US01109,16,12,40,19,40,19,40,28
US01111,2,3,9,23,9,23,23,32
US01113,4,12,5,39,0,39,16,1
US01115,16,14,20,15,20,15,9,73
US01117,16,14,20,15,20,15,9,73
US01119,2,3,9,4,9,0,23,3
